Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,mapped_sentiment
"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",Confusion,ThoughtExplorer,Twitter,#Confusion #ThoughtLabyrinth,15,30,UK,2021,May,neutral
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",Numbness,StoicSoul,Instagram,#Numbness #StoicFacade,8,15,Australia,2019,Dec,negative
"Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams.",Melancholy,DreamerInSilence,Facebook,#Melancholy #WhispersInTheBreeze,12,25,India,2020,Mar,neutral
"Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone.",Nostalgia,JournalKeeper,Twitter,#Nostalgia #JournalMoments,10,20,Canada,2018,Jul,neutral
"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence.",Ambivalence,ThreadWeaver,Instagram,#Ambivalence #ConflictingFeelings,12,25,UK,2022,Jan,neutral
"Embracing the flaws, finding acceptance in imperfection, a journey towards self-love.",Acceptance,SelfLoveAdvocate,Facebook,#Acceptance #SelfLoveJourney,15,30,Australia,2021,Aug,neutral
"Determination burning like a wildfire, overcoming obstacles, turning dreams into reality.",Determination,DreamChaser,Twitter,#Determination #DreamsIntoReality,18,35,USA,2019,Nov,neutral
"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace.",Serenity,OceanSoul,Instagram,#Serenity #OceanRetreat,25,50,Canada,2020,Apr,positive
"Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge.",Curiosity,HorizonExplorer,Facebook,#Curiosity #NewHorizons,22,45,India,2022,Apr,positive
"Drifting through the day with a nonchalant demeanor, embracing the art of indifference.",Indifference,NonchalantSpirit,Twitter,#Indifference #DriftingThroughLife,9,18,UK,2023,Feb,neutral
"Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities.",Confusion,ComplexThinker,Instagram,#Confusion #PerplexedMind,14,28,Australia,2020,Aug,neutral
"Immersed in a state of emotional numbness, a shield against the storm of daily struggles.",Numbness,ShieldedHeart,Facebook,#Numbness #EmotionalShield,10,20,USA,2021,Dec,negative
"A melancholic symphony playing in the background, the soundtrack of a wistful heart.",Melancholy,SymphonySoul,Twitter,#Melancholy #WistfulHeart,13,26,Canada,2019,Mar,neutral
"Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face.",Nostalgia,YearbookExplorer,Instagram,#Nostalgia #YearbookMemories,12,25,India,2017,Jun,neutral
"Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty.",Ambivalence,DecisiveDilemma,Facebook,#Ambivalence #ShadesOfUncertainty,15,30,Australia,2022,Jul,neutral
"Embracing life's imperfections, finding acceptance in the journey, scars and all.",Acceptance,ImperfectHarmony,Twitter,#Acceptance #ImperfectJourney,18,36,Canada,2023,May,neutral
"A fiery determination burning within, fueled by the vision of reaching unparalleled heights.",Determination,VisionarySpirit,Instagram,#Determination #UnparalleledHeights,20,40,UK,2021,Sept,neutral
"Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul.",Serenity,ForestDreamer,Facebook,#Serenity #NatureWhispers,25,50,USA,2020,Feb,positive
"Indifferent to the noise of the world, a silent observer in the midst of life's cacophony.",Indifference,SilentSpectator,Instagram,#Indifference #SilentObserver,9,18,India,2023,Mar,neutral
"Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas.",Confusion,MazeNavigator,Facebook,#Confusion #ThoughtLabyrinth,14,28,Australia,2021,May,neutral
"An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience.",Numbness,ResilientFortress,Twitter,#Numbness #StoicResilience,11,22,UK,2019,Oct,negative
"Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories.",Melancholy,CanvasDreamer,Instagram,#Melancholy #BittersweetMemories,13,26,USA,2020,Jan,neutral
"A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead.",Nostalgia,DiaryExplorer,Facebook,#Nostalgia #DiaryJourney,12,25,Canada,2018,Aug,neutral
"Ambivalence clouding decisions, caught in the crossroads of conflicting emotions.",Ambivalence,CrossroadsTraveler,Twitter,#Ambivalence #ConflictingEmotions,15,30,India,2022,Jan,neutral
"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos.",Acceptance,MosaicDreamer,Instagram,#Acceptance #BeautifulChaos,18,36,Australia,2021,Jul,neutral
"Determination as the driving force, propelling me forward on the path to extraordinary achievements.",Determination,PathfinderSpirit,Facebook,#Determination #ExtraordinaryPath,20,40,USA,2019,Dec,neutral
"Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life.",Serenity,RaindropHarmony,Twitter,#Serenity #RaindropMelody,25,50,Canada,2020,Apr,positive
"Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories.",Curiosity,SeekerOfUnknowns,Instagram,#Curiosity #SeekerOfKnowledge,22,45,UK,2022,May,positive
"Drifting through the day with an air of nonchalance, indifferent to the trivialities of life.",Indifference,NonchalantWanderer,Facebook,#Indifference #DriftingThroughLife,9,18,India,2023,Feb,neutral
"Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity.",Confusion,ShadowedSeeker,Twitter,#Confusion #LabyrinthOfThoughts,14,28,Australia,2020,Jun,neutral
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",Numbness,TurbulentShield,Instagram,#Numbness #EmotionalStorms,10,20,Canada,2021,Nov,negative
"Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning.",Melancholy,WistfulPainter,Facebook,#Melancholy #WistfulYearning,13,26,UK,2019,Feb,neutral
"Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears.",Nostalgia,TaleWeaver,Twitter,#Nostalgia #PhotoAlbumStories,12,25,USA,2017,May,neutral
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions.",Ambivalence,CrossroadsExplorer,Instagram,#Ambivalence #CrossroadsConfusion,15,30,Canada,2022,Aug,neutral
"Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art.",Acceptance,MosaicArtist,Facebook,#Acceptance #UnpredictableArt,18,36,Australia,2023,Jun,neutral
"Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities.",Determination,DreamSculptor,Twitter,#Determination #SculptingDreams,20,40,UK,2021,Oct,neutral
"Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul.",Serenity,MoonlitSoul,Instagram,#Serenity #MoonlitPeace,25,50,USA,2020,May,positive
"Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world.",Curiosity,FearlessExplorer,Facebook,#Curiosity #FearlessExplorer,22,44,India,2022,Dec,positive
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",Numbness,TurbulentShield,Instagram,#Numbness #EmotionalStorms,10,20,Canada,2021,Nov,negative
"Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn.",Zest,JoyfulDancer,Twitter,#Zest #CarefreeSpirit,15,30,USA,2018,Jul,positive
"Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart.",Contentment,SereneBasker,Facebook,#Contentment #GoldenGlow,18,36,Australia,2020,Sept,positive
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism.",Hopeful,DreamPainter,Instagram,#Hopeful #CanvasOfDreams,12,24,India,2022,Apr,positive
"Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment.",Proud,OakAchiever,Twitter,#Proud #BranchesOfAchievement,25,50,Canada,2019,Dec,neutral
"A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection.",Grateful,HeartGardener,Facebook,#Grateful #BlossomingConnection,20,40,USA,2023,Feb,neutral
"Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others.",Empathetic,ThreadWeaver,Instagram,#Empathetic #TapestryOfUnderstanding,15,30,UK,2018,Apr,neutral
"Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering.",Compassionate,CloudCaretaker,Twitter,#Compassionate #ShowerOfEmpathy,18,36,Australia,2022,Jun,neutral
"Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness.",Playful,RainDancer,Facebook,#Playful #DanceInTheRain,22,44,Canada,2020,Jul,positive
"Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence.",Free-spirited,SkyPainter,Instagram,#FreeSpirit #PaintingTheSky,20,40,India,2021,Aug,neutral
"Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms.",Inspired,PhoenixExplorer,Twitter,#Inspired #CreativePhoenix,15,30,UK,2019,Oct,neutral
"Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation.",Hopeful,SunriseNavigator,Facebook,#Hopeful #SunriseOfPossibilities,12,24,USA,2023,Oct,positive
"Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed.",Confident,SandStrider,Instagram,#Confident #FootprintsOfAssuredness,25,50,Australia,2022,Feb,neutral
"Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams.",Serenity,NightSerenader,Twitter,#Serenity #MoonlitSerenade,13,26,Canada,2021,May,positive
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge.",Curiosity,KnowledgeSeeker,Instagram,#Curiosity #LabyrinthOfQuestions,17,34,USA,2020,Nov,positive
"In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties.",Ambivalence,BreezeWaltzer,Facebook,#Ambivalence #AutumnWaltz,14,28,UK,2019,Sept,neutral
"Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments.",Grateful,StarNavigator,Twitter,#Grateful #GuidingStar,19,38,Australia,2022,Mar,neutral
"With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy.",Zest,MeadowSprinter,Instagram,#Zest #FieldsOfEnthusiasm,16,32,India,2023,Mar,positive
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,RainNurturer,Facebook,#Compassionate #TearsOfEmpathy,21,42,Canada,2021,Jul,neutral
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",Proud,PeakConqueror,Twitter,#Proud #ScalingPeaks,23,46,USA,2020,Jan,neutral
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,DawnGardener,Instagram,#Hopeful #SeedsOfOptimism,14,28,UK,2022,Jul,positive
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",Playful,CarnivalDreamer,Facebook,#Playful #CarnivalEscapade,24,48,Australia,2018,Aug,positive
"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",Inspired,SkyArtist,Twitter,#Inspired #CloudsOfCreativity,18,36,India,2021,Dec,neutral
"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",Contentment,RiverNavigator,Instagram,#Contentment #TranquilWaters,20,40,Canada,2019,Apr,positive
"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",Empathetic,LanternWanderer,Facebook,#Empathetic #LanternOfCompassion,16,32,USA,2023,Sept,neutral
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",Free-spirited,DreamSoarer,Twitter,#FreeSpirit #WingsOfDreams,22,44,UK,2020,Jun,neutral
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",Grateful,SunsetAdmirer,Instagram,#Grateful #GoldenHues,19,38,Australia,2022,Apr,neutral
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",Confident,DanceStrider,Facebook,#Confident #DanceOfLife,23,46,Canada,2021,Jan,neutral
"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",Hopeful,WindWhisperer,Twitter,#Hopeful #BrighterTomorrows,15,30,India,2023,May,positive
"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",Playful,JugglingArtist,Instagram,#Playful #JugglingResponsibilities,25,50,USA,2019,Nov,positive
"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",Inspired,StarStoryteller,Facebook,#Inspired #TalesToTheStars,14,28,UK,2020,Aug,neutral
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",Hopeful,WaveNavigator,Twitter,#Hopeful #SailorOfDreams,17,34,Australia,2022,Oct,positive
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,RainNurturer,Instagram,#Compassionate #TearsOfEmpathy,21,42,Canada,2021,Jul,neutral
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",Proud,PeakConqueror,Twitter,#Proud #ScalingPeaks,23,46,USA,2020,Jan,neutral
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,DawnGardener,Instagram,#Hopeful #SeedsOfOptimism,14,28,UK,2022,Jul,positive
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",Playful,CarnivalDreamer,Facebook,#Playful #CarnivalEscapade,24,48,Australia,2018,Aug,positive
"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",Inspired,SkyArtist,Twitter,#Inspired #CloudsOfCreativity,18,36,India,2021,Dec,neutral
"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",Contentment,RiverNavigator,Instagram,#Contentment #TranquilWaters,20,40,Canada,2019,Apr,positive
"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",Empathetic,LanternWanderer,Facebook,#Empathetic #LanternOfCompassion,16,32,USA,2023,Sept,neutral
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",Free-spirited,DreamSoarer,Twitter,#FreeSpirit #WingsOfDreams,22,44,UK,2020,Jun,neutral
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",Grateful,SunsetAdmirer,Instagram,#Grateful #GoldenHues,19,38,Australia,2022,Apr,neutral
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",Confident,DanceStrider,Facebook,#Confident #DanceOfLife,23,46,Canada,2021,Jan,neutral
"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",Hopeful,WindWhisperer,Twitter,#Hopeful #BrighterTomorrows,15,30,India,2023,May,positive
"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",Playful,JugglingArtist,Instagram,#Playful #JugglingResponsibilities,25,50,USA,2019,Nov,positive
"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",Inspired,StarStoryteller,Facebook,#Inspired #TalesToTheStars,14,28,UK,2020,Aug,neutral
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",Hopeful,WaveNavigator,Twitter,#Hopeful #SailorOfDreams,17,34,Australia,2022,Oct,positive
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,RainNurturer,Instagram,#Compassionate #TearsOfEmpathy,21,42,Canada,2021,Jul,neutral
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",Proud,PeakConqueror,Twitter,#Proud #ScalingPeaks,23,46,USA,2020,Jan,neutral
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,DawnGardener,Instagram,#Hopeful #SeedsOfOptimism,14,28,India,2022,Jul,positive
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",Playful,CarnivalDreamer,Facebook,#Playful #CarnivalEscapade,24,48,Australia,2018,Aug,positive
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness.",Despair,ShatteredHeart,Instagram,#Despair #EchoingSilence,8,16,Canada,2021,Sept,negative
"Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",Bitterness,VenomousSoul,Facebook,#Bitterness #ResentmentWeb,12,24,UK,2019,Mar,negative
"Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing.",Loneliness,DesertWanderer,Twitter,#Loneliness #MiragesOfConnection,15,30,USA,2017,Jul,negative
"Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude.",Yearning,ColdEmbrace,Instagram,#Yearning #DistantWarmth,10,20,Australia,2020,Nov,neutral
"Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors.",Fearful,NightPrisoner,Facebook,#Fearful #ImaginedHorrors,18,36,India,2022,May,negative
"Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion.",Apprehensive,TightropeWalker,Twitter,#Apprehensive #BalancingAct,14,28,UK,2023,Apr,neutral
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion.",Overwhelmed,AtlasBearer,Instagram,#Overwhelmed #BouldersOfExhaustion,22,44,Canada,2021,Jun,neutral
"Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success.",Jealous,GreenMonster,Facebook,#Jealous #GreenEyedMonster,16,32,USA,2019,Aug,neutral
"Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises.",Devastated,StormSurvivor,Twitter,#Devastated #WindsOfBrokenPromises,25,50,Australia,2022,Aug,negative
"Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations.",Frustrated,PuzzleComposer,Instagram,#Frustrated #UnsolvablePuzzle,12,24,India,2020,Dec,neutral
"Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach.",Envious,GildedHeartache,Facebook,#Envious #GildedPrize,20,40,USA,2021,Feb,neutral
"Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition.",Dismissive,IndifferentFort,Twitter,#Dismissive #ImpenetrableWalls,14,28,UK,2018,May,neutral
"Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration.",Frustrated,DreamMosaic,Instagram,#Frustrated #MosaicOfDisappointment,15,30,Canada,2022,Jan,neutral
"Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne.",Loneliness,NocturnalEcho,Facebook,#Loneliness #SolitaryNocturne,18,36,Australia,2019,Sept,negative
"Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune.",Fearful,DarkWhispers,Twitter,#Fearful #SpecterOfTheUnknown,13,26,UK,2023,Jul,negative
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time.",Bitterness,LingeringTaste,Instagram,#Bitterness #BitterAftertaste,10,20,India,2020,Apr,negative
"Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat.",Overwhelmed,TempestSurvivor,Facebook,#Overwhelmed #DrowningSoul,20,40,USA,2021,Nov,neutral
"Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent.",Jealous,VenomousHeart,Twitter,#Jealous #HeartOfDiscontent,16,32,Australia,2019,Dec,neutral
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake.",Devastated,FragileTrust,Instagram,#Devastated #ShatteredTrust,25,50,Canada,2022,May,negative
"Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand.",Frustrated,BrokenThreads,Facebook,#Frustrated #SlippingThreads,14,28,UK,2020,Sept,neutral
"Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights.",Envious,SuccessPill,Twitter,#Envious #BitterPill,20,40,USA,2021,Feb,neutral
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",Dismissive,CurtainShield,Instagram,#Dismissive #IndifferencePerformance,12,24,Australia,2018,Aug,neutral
"Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness.",Despair,FoggyLabyrinth,Facebook,#Despair #LabyrinthOfHopelessness,8,16,Canada,2022,Feb,negative
"Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory.",Bitterness,IcyResentment,Twitter,#Bitterness #IciclesOfResentment,15,30,UK,2019,Oct,negative
"Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces.",Loneliness,SolitaryMoon,Instagram,#Loneliness #StarlessSky,18,36,USA,2017,Dec,negative
"Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon.",Yearning,VanishedSunset,Facebook,#Yearning #HuesOfSunset,10,20,Australia,2020,Apr,neutral
"Fearful eyes scanning the shadows, a prisoner of the night, terrorized by the lurking monsters born from the mind's darkest corners.",Fearful,NightPrisoner,Twitter,#Fearful #LurkingMonsters,18,36,India,2023,Jan,negative
"Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt.",Apprehensive,WindWhisperer,Instagram,#Apprehensive #StormOfDoubt,14,28,Canada,2021,Jun,neutral
"Overwhelmed by the maze of expectations, a minotaur of pressure lurking in the labyrinth, waiting to devour the spirit of resilience.",Overwhelmed,MazeExplorer,Facebook,#Overwhelmed #MinotaurOfPressure,22,44,USA,2020,Feb,neutral
"Jealousy, a festering wound, the pain intensifying with each glance at the garden of others' achievements, blooming beyond the fence.",Jealous,WoundedGarden,Twitter,#Jealous #BloomingAchievements,16,32,UK,2018,Mar,neutral
"Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole.",Devastated,RuinedHeart,Instagram,#Devastated #EchoesOfShatteredDreams,25,50,Australia,2022,Oct,negative
"Frustrated attempts to untangle the knot of confusion, the threads of understanding slipping further into the labyrinth of miscommunication.",Frustrated,KnotUntangler,Facebook,#Frustrated #LabyrinthOfMiscommunication,14,28,India,2020,Nov,neutral
"Envious eyes locked on the treasure chest of opportunities, a heartache fueled by the desire for keys that seem forever elusive.",Envious,ElusiveKeys,Twitter,#Envious #DesireForKeys,20,40,USA,2021,Jan,neutral
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",Dismissive,IndifferentFort,Instagram,#Dismissive #IndifferencePerformance,12,24,Australia,2018,Aug,neutral
"Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration.",Frustrated,DreamMosaic,Twitter,#Frustrated #MosaicOfDisappointment,15,30,Canada,2022,Jan,neutral
"Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne.",Loneliness,NocturnalEcho,Facebook,#Loneliness #SolitaryNocturne,18,36,Australia,2019,Sept,negative
Awe-struck by the breathtaking sunrise over the mountains.,Awe,NatureAdmirer,Instagram,#Awe #BreathtakingSunrise,28,55,USA,2022,Apr,positive
Navigating through the challenges with determination.,Determination,GoalPursuer,Twitter,#Determination #Challenges,15,30,Canada,2023,Oct,neutral
Nostalgia hits while flipping through an old photo album.,Nostalgia,MemoryLane,Facebook,#Nostalgia #OldMemories,22,45,UK,2019,Jun,neutral
Thrilled to witness the grandeur of a cultural festival.,Thrill,CultureEnthusiast,Instagram,#Thrill #CulturalCelebration,40,80,India,2020,Sept,neutral
Calmness found in the rhythm of raindrops on the windowpane.,Calmness,RainWatcher,Twitter,#Calmness #RainyDays,18,35,Australia,2017,Nov,neutral
Overwhelmed by the support received during a personal challenge.,Overwhelmed,PersonalJourney,Facebook,#Overwhelmed #SupportiveCommunity,25,50,USA,2021,May,neutral
Excitement builds as the countdown to a long-awaited vacation begins.,Excitement,VacationDreamer,Instagram,#Excitement #VacationCountdown,30,60,France,2023,Jan,positive
"Reflecting on life's journey, grateful for the lessons learned.",Gratitude,LifeLearner,Twitter,#Gratitude #LifeLessons,35,70,Brazil,2018,Dec,positive
Bittersweet emotions arise while bidding farewell to a dear friend.,Bittersweet,FarewellSender,Instagram,#Bittersweet #Farewell,20,40,Japan,2020,Mar,neutral
Curiosity sparked by exploring a mysterious ancient ruin.,Curiosity,HistoryExplorer,Facebook,#Curiosity #AncientDiscovery,18,35,Greece,2016,Aug,positive
Admiration for the intricate details of a handcrafted masterpiece.,Admiration,CraftEnthusiast,Instagram,#Admiration #HandcraftedArt,25,50,USA,2019,Aug,positive
Overjoyed by the warmth of a cozy fireplace on a winter evening.,Overjoyed,WinterLover,Twitter,#Overjoyed #WinterWarmth,18,35,Canada,2021,Dec,positive
Inspiration strikes while observing the colors of a vibrant sunset.,Inspiration,SunsetWatcher,Instagram,#Inspiration #ColorfulSunset,30,60,UK,2020,Jun,positive
Motivated to achieve fitness goals after an invigorating workout.,Motivation,FitnessJunkie,Facebook,#Motivation #FitnessGoals,40,80,Australia,2022,Feb,neutral
Gratitude for the simple joys found in a cup of morning coffee.,Gratitude,CoffeeLover,Twitter,#Gratitude #MorningCoffee,22,45,India,2017,Apr,positive
Feeling empowered after conquering a challenging hiking trail.,Empowerment,HikingExplorer,Instagram,#Empowerment #HikingAdventure,35,70,USA,2018,Sept,positive
Amused by the antics of playful kittens during playtime.,Amusement,KittyObserver,Facebook,#Amusement #PlayfulKittens,15,30,Canada,2022,Oct,positive
Contemplating life's mysteries under the starry night sky.,Contemplation,Stargazer,Twitter,#Contemplation #StarryNight,28,55,UK,2016,Jul,neutral
Joyful reunion with long-lost friends after years of separation.,JoyfulReunion,FriendshipRenewal,Instagram,#JoyfulReunion #Friendship,20,40,India,2020,Nov,positive
Excitement builds while preparing for a surprise celebration.,Excitement,CelebrationPlanner,Facebook,#Excitement #SurpriseCelebration,30,60,Australia,2023,Mar,positive
Satisfaction derived from successfully completing a DIY project.,Satisfaction,DIYEnthusiast,Twitter,#Satisfaction #DIYProject,25,50,USA,2015,Dec,neutral
Feeling blessed for the supportive community in times of need.,Blessed,CommunityHelper,Instagram,#Blessed #SupportiveCommunity,18,35,UK,2021,Sept,positive
Captivated by the serenity of a tranquil garden in full bloom.,Serenity,GardenEnthusiast,Facebook,#Serenity #TranquilGarden,22,45,Canada,2018,May,positive
Anticipation for an upcoming adventure in an exotic destination.,Anticipation,Wanderlust,Twitter,#Anticipation #AdventureAwaits,40,80,India,2022,Jul,neutral
Reflecting on personal growth achieved through life experiences.,Reflection,GrowthSeeker,Instagram,#Reflection #PersonalGrowth,35,70,USA,2019,Mar,neutral
Nostalgic memories flood in while revisiting childhood favorites.,Nostalgia,ChildhoodMemories,Facebook,#Nostalgia #ChildhoodFavorites,20,40,Australia,2017,Jan,neutral
Appreciation for the vibrant culture experienced during travel.,Appreciation,CultureExplorer,Twitter,#Appreciation #CulturalExperience,28,55,UK,2016,Nov,neutral
Confidence soars after overcoming public speaking anxiety.,Confidence,PublicSpeaker,Instagram,#Confidence #OvercomingAnxiety,15,30,USA,2020,Apr,positive
Contentment in the midst of a family gathering filled with laughter.,Contentment,FamilyCelebration,Facebook,#Contentment #FamilyLaughter,25,50,Canada,2023,Jan,positive
Enthusiasm for learning new skills and expanding knowledge.,Enthusiasm,LifelongLearner,Twitter,#Enthusiasm #SkillBuilding,30,60,India,2018,Aug,positive
Surprise and delight at discovering a hidden gem in the city.,Surprise,CityExplorer,Instagram,#Surprise #HiddenGem,18,35,UK,2019,Oct,neutral
